primary_procedure_id,coa_requirement_keys
TRANSPLANT_006,"[""coa.case.anatomic.intra_abdominal""]"
TRANSPLANT_007,"[""coa.case.anatomic.intra_abdominal""]"
PEDIATRIC_001,"[""coa.case.anatomic.intra_abdominal""]"
PEDIATRIC_002,"[""coa.case.anatomic.intra_abdominal""]"
PEDIATRIC_003,"[""coa.case.anatomic.intrathoracic_other"", ""coa.case.anatomic.intra_abdominal""]"
PEDIATRIC_004,"[""coa.case.anatomic.intra_abdominal""]"
PEDIATRIC_005,"[""coa.case.anatomic.intra_abdominal""]"
PEDIATRIC_006,"[""coa.case.anatomic.intra_abdominal""]"
PEDIATRIC_007,"[""coa.case.anatomic.intra_abdominal""]"
PEDIATRIC_008,"[""coa.case.anatomic.intra_abdominal""]"
PEDIATRIC_009,"[""coa.case.anatomic.intra_abdominal""]"
PEDIATRIC_010,"[""coa.case.anatomic.intracranial_open""]"
PEDIATRIC_011,"[""coa.case.anatomic.neuroskeletal""]"
ANESTHESIA_ONLY,[]
