pdf_procedure_id,primary_procedure_id,default_modifiers,mapping_confidence,needs_review
tosp_sb705h,pap_hand_closed_fracture_orif,[],low,true
tosp_sb705j,pap_joints_primary_total_joint_replacement_requiring_extra_implants_or_bone_grafts,[],low,true
tosp_sb705k,pap_knee_ligaments_meniscus_cartilage_bone_combined_ligament_reconstruction,"[""minimally_invasive""]",low,true
tosp_sb705m,pap_mandible_or_maxilla_vestibuloplasty_complex,[],high,false
tosp_sb705p,pap_pelvis_fracture_combined_anterior_and_posterior_fixation_or_fixation,"[""bilateral""]",high,false
tosp_sb705s,pap_scapula_scapular_fracture_reduction_and_internal_fixation,"[""open""]",low,true
tosp_sb705t,pap_tibia_tibial_shaft_fracture_intramedullary_nailing,[],high,false
tosp_sb705w,pap_wrist_distal_radius_fracture_reduction_and_internal_fixation,"[""open""]",med,false
tosp_sb706b,pap_bone_tumour_local_ablation,"[""imaging_guided"", ""percutaneous""]",med,false
tosp_sb706e,pap_elbow_supracondylar_fracture_m_r_pinning,"[""percutaneous""]",med,false
tosp_sb706f,pap_femur_fracture_reduction_and_internal_fixation,"[""open""]",med,false
tosp_sb706h,pap_hand_complex_injuries_debridement,[],low,true
tosp_sb706j,pap_joints_revision_total_joint_replacement,[],high,false
tosp_sb706k,pap_knee_ligaments_meniscus_cartilage_bone_combined_primary_double_bundle_acl_or_pcl,"[""minimally_invasive""]",med,false
tosp_sb706m,pap_mandible_or_maxilla_vestibuloplasty_simple,[],high,false
tosp_sb706p,pap_pelvis_fracture_revision_fixation,[],low,true
tosp_sb706w,pap_wrist_distal_radius_fracture_reduction_and_internal_fixation_complex,"[""open""]",low,true
tosp_sb707b,pap_bone_tumor_around_joints,[],low,true
tosp_sb707e,pap_elbow_primary_total_joint_arthroplasty_requiring_extra_implants_or_bone_grafts,[],low,true
tosp_sb707f,pap_femur_neck_of_femur_fracture_pin_fixation,[],high,false
tosp_sb707h,pap_hand_complex_injuries_microsurgical_repair_reconstruction_1_digit,[],high,false
tosp_sb707j,pap_joints_impingement_syndrome,[],high,false
